Size;Time
93600;18795600
93700;18193900
93800;18297300
93900;17837800
94000;18556900
94100;18482500
94200;18304400
94300;18264800
94400;18147500
94500;19118800
94600;18896900
94700;18884500
94800;17950700
94900;17891500
95000;18942600
95100;19519600
95200;17642300
95300;18297700
95400;19109800
95500;18775700
95600;18988200
95700;17943700
95800;18142800
95900;18870000
96000;19270400
96100;18661800
96200;18459400
96300;18154900
96400;19110500
96500;18171300
96600;19067600
96700;18340200
96800;19005100
96900;19040600
97000;18907800
97100;18411100
97200;18601000
97300;18914200
97400;20269300
97500;18748600
97600;19434900
97700;19638900
97800;18985900
97900;19384000
98000;19413600
98100;19051700
98200;19624600
98300;18551100
98400;19327300
98500;20000500
98600;19841200
98700;19455900
98800;20016600
98900;19385700
99000;19825600
99100;20146400
99200;18791600
99300;20386200
99400;19772100
99500;19452400
99600;19236300
99700;19691700
99800;20493300
99900;19085200
100000;19178100
